cutoff_mode,dataset,replicate,prime_cutoff,feature_id,track_id,tau,value,prominence,width,curvature,refinement_ok,refinement
hard,real,0,151,peak_22,22,34.55003065619823,-1.2228164010825433,0.4665267213900417,0.3973127820830371,-14.0174934300149,True,derivative_root
hard,real,0,211,peak_1,1,0.7783978681507406,6.158283349362586,8.81036848559499,0.5491958447032624,-132.08070364077457,True,derivative_root
hard,real,0,211,peak_2,17,2.008642202583722,3.7789206399312345,5.313649309673676,0.6096222121798658,-70.13084934249453,True,derivative_root
hard,real,0,211,peak_3,23,3.1875057793067123,2.779054382259584,3.4878298260970246,0.6304878529037392,-43.49205816620297,True,derivative_root
hard,real,0,211,peak_4,18,4.370677273432705,1.995569792942138,2.287550807366917,0.5911520551969439,-31.405914463156627,True,derivative_root
hard,real,0,211,peak_5,27,5.540629985917967,1.3090558187357861,1.7482585724560544,0.5720574284481622,-25.50445062447487,True,derivative_root
hard,real,0,211,peak_6,10,6.739870202356429,0.6563604348154977,1.3373364573789495,0.5777662949066951,-18.3476869542044,True,derivative_root
hard,real,0,211,peak_7,15,7.894465038691817,0.25455700650048474,1.3610312197271275,0.5564078852325054,-21.151944837421013,True,derivative_root
hard,real,0,211,peak_8,34,9.08832248244397,-0.1027953239288088,1.229572912937502,0.5594492511603661,-19.260640527140183,True,derivative_root
hard,real,0,211,peak_9,4,10.287858796107606,-0.21752034602250317,1.2762125473714536,0.5790648983091131,-18.712556331153703,True,derivative_root
hard,real,0,211,peak_10,29,11.454022807357308,-0.027562746216285728,1.1614580412613285,0.5507879437745772,-18.014975121723364,True,derivative_root
hard,real,0,211,peak_11,19,12.625812446258674,0.7996835110793337,0.9319747903964701,0.4299977563106609,-23.734403058293577,True,derivative_root
hard,real,0,211,peak_12,5,14.065264831809008,4.773053904593604,7.145308580390882,1.374630000346511,-20.692031900070454,True,derivative_root
hard,real,0,211,peak_13,20,17.24355616165236,-1.310645214278577,0.34599023363095527,0.44273652155658855,-8.150003598994486,True,derivative_root
hard,real,0,211,peak_14,31,18.51036908738565,-1.2643432103484182,0.5605442749382377,0.5621769499251371,-8.183617603413543,True,derivative_root
hard,real,0,211,peak_15,32,19.68401109913234,-0.17795060827745754,0.6270410865720115,0.37829011392298073,-20.20576054604047,True,derivative_root
hard,real,0,211,peak_16,6,20.980237634597913,4.385766049868538,6.414198522794251,1.1092021735768527,-33.23144961910878,True,derivative_root
hard,real,0,211,peak_17,7,24.993256370440047,3.777804309884567,4.681945402420855,0.966398684286628,-24.990102701195585,True,derivative_root
hard,real,0,211,peak_18,25,26.47860672723047,-0.9201482898131447,0.5026831719179758,0.3673598835911662,-17.194278416536346,True,derivative_root
hard,real,0,211,peak_19,33,27.703565334608307,-1.7479544497436026,0.5289425453928855,0.5679564218473899,-9.171732609054922,True,derivative_root
hard,real,0,211,peak_20,35,29.052394101997685,-0.8460787695356502,0.3811171646213847,0.32286266092494886,-16.789052295027453,True,derivative_root
hard,real,0,211,peak_21,8,30.4008783940076,4.240450650090464,6.327716873937664,1.0247335591448177,-38.79677809025041,True,derivative_root
hard,real,0,211,peak_22,36,31.513188453738593,0.48460570676183035,0.11713709805474792,0.24921188310352138,-8.588472207070408,True,derivative_root
hard,real,0,211,peak_23,14,32.86014316334585,3.7879911223913245,4.021920096501801,0.8809498169732195,-26.7578460908344,True,derivative_root
taper,real,0,5,peak_1,1,3.592816675292788,0.8933542564830013,2.209619701379183,6.632311912174259,-0.3882021141812371,True,derivative_root
taper,real,0,5,peak_2,2,6.834151583419056,0.22926859629631036,0.24195011726950688,1.2141652444091875,-0.6667234081441682,True,derivative_root
taper,real,0,5,peak_3,3,13.989309154484461,0.993948155054949,2.714915759631298,6.194614207215164,-0.3531458820585597,True,derivative_root
taper,real,0,5,peak_4,4,21.167867873136796,0.7020103758174953,2.230947189462192,7.2348929868931044,-0.46146469343550856,True,derivative_root
taper,real,0,5,peak_5,5,24.403327682892005,0.5844139414466929,0.4830408923049394,1.9165902285202265,-0.5103599568262362,True,derivative_root
taper,real,0,5,peak_6,6,31.575030541412467,1.0118427558656808,1.6024671063693967,4.017849221199976,-0.3471665906793945,True,derivative_root
taper,real,0,7,peak_1,7,3.027658886936892,1.20731460235999,2.5970032369521525,4.191037879530292,-0.8634820724640093,True,derivative_root
taper,real,0,7,peak_2,2,6.838122272620191,0.30722763708432144,0.49630202244949373,1.2621284218937896,-1.2992421895469974,True,derivative_root
taper,real,0,7,peak_3,8,10.407189460778879,-0.35274935329162516,0.4967324449808793,1.1254554026349908,-1.610969516764696,True,derivative_root
taper,real,0,7,peak_4,3,13.940808357496119,1.5233937445974333,3.62037877888436,4.420666588505438,-0.7587191809811187,True,derivative_root
taper,real,0,7,peak_5,4,21.094893347979678,1.0976443549411905,3.185670878790878,7.31732663560386,-0.9204144053484785,True,derivative_root
taper,real,0,7,peak_6,5,24.781043243455606,0.8999988476863281,1.191265028307487,2.1632843974105955,-0.980329630039136,True,derivative_root
taper,real,0,7,peak_7,6,32.04774986352532,1.3494567177022487,2.4227838885872606,4.247614796085418,-0.835248707148415,True,derivative_root
taper,real,0,11,peak_1,9,2.4556380876755193,1.5634390734444328,2.9163512851413103,4.191119352965435,-2.003580454708761,True,derivative_root
taper,real,0,11,peak_2,10,4.583604252553717,0.9937143974670797,0.2538050943991019,0.6899713698128089,-2.2980257229724343,True,derivative_root
taper,real,0,11,peak_3,2,6.948238691980134,0.2599060838271512,0.4624733695041847,1.0189808052070362,-2.2730316997241253,True,derivative_root
taper,real,0,11,peak_4,8,10.395218873968812,-0.23867297204073898,1.1011658494618435,1.312071977018026,-2.8871147767867473,True,derivative_root
taper,real,0,11,peak_5,3,14.042526773300779,2.2132253955313734,4.803454528652422,3.6614012752232883,-1.8295615192655044,True,derivative_root
taper,real,0,11,peak_6,4,21.102585972081503,1.7424316211633777,3.777914104830786,2.7134779432206955,-2.0021515048180833,True,derivative_root
taper,real,0,11,peak_7,5,24.81174116928773,1.417379348555817,2.362249337400239,2.2139262081454802,-2.1277147242572925,True,derivative_root
taper,real,0,11,peak_8,11,30.474547935027328,1.4466400860549433,0.305323324266475,0.788700938704352,-2.0856509178095455,True,derivative_root
taper,real,0,11,peak_9,12,32.659259034136724,1.4595563431018754,3.260580442153975,4.645349409207228,-1.323912174777691,True,derivative_root
taper,real,0,17,peak_1,9,2.0644945753564343,1.779210540795556,3.152637890750595,4.252263238561844,-3.3220696412189454,True,derivative_root
taper,real,0,17,peak_2,10,4.534932275733396,1.1694840841409606,0.4448269953677031,0.7509964750272822,-3.5619889157011784,True,derivative_root
taper,real,0,17,peak_3,2,6.925608808158336,0.2400704281933339,0.38864534935326533,0.7635473759584812,-3.405523287453769,True,derivative_root
taper,real,0,17,peak_4,13,8.349950446009576,-0.47933750351900384,0.15621106521430184,0.4397891956493567,-3.5711833665312662,True,derivative_root
taper,real,0,17,peak_5,8,10.512720722269272,-0.3259529166022208,0.8619589200266704,1.1472417015324126,-2.2880211379339954,True,derivative_root
taper,real,0,17,peak_6,3,14.10478244558128,2.789218173145323,5.436015687640669,3.1439380921139732,-3.512837066889019,True,derivative_root
taper,real,0,17,peak_7,4,21.185875473927116,2.0820870136843013,4.002868807867647,2.430519391556905,-2.197080905635394,True,derivative_root
taper,real,0,17,peak_8,5,24.83887433877744,1.857897725163468,3.1979119948025154,2.029006242111558,-3.510279062971594,True,derivative_root
taper,real,0,17,peak_9,14,28.10850482965116,-1.7460350661065278,0.17764067523629357,0.4347934042308168,-4.155253868615436,True,derivative_root
taper,real,0,17,peak_10,11,30.39204404451381,1.9196831993644834,4.044691373852576,4.523070429477366,-3.9683979527326474,True,derivative_root
taper,real,0,17,peak_11,12,32.91591164528829,1.7888360268823176,0.8637271427848352,1.0634736696907054,-3.7377858224670106,True,derivative_root
