cutoff_mode,dataset,replicate,track_id,first_cutoff,last_cutoff,observations,eligible_cutoffs,persistence,tail_count,tail_tau_mean,tail_tau_median,tail_tau_std,tail_tau_min,tail_tau_max,tail_drift,tail_slope,median_prominence,prominence_std,prominence_cv,stable
hard,phase_scrambled,0,19,17,211,7,3,1.0,3,28.582774280772043,28.58553410978892,0.016952899773502988,28.560769412349863,28.60201932017734,0.04124990782747773,0.05549069470300666,5.377382562205646,0.14897647346635978,0.027400167860889585,True
hard,phase_scrambled,0,20,29,211,4,3,0.6666666666666666,2,1.678497633282186,1.678497633282186,0.04977032011861293,1.6287273131635729,1.7282679534007988,0.09954064023722586,0.13511002830545998,0.2781147031827991,0.14259583619621008,0.5127231123141475,False
hard,phase_scrambled,0,21,29,211,6,3,1.0,3,13.8044943634385,13.799323443368749,0.03125473668940192,13.769063589605333,13.845096057341424,0.07603246773609129,0.03591677238188031,1.8556757335266947,0.13552539563244917,0.0755165279695854,True
hard,phase_scrambled,0,22,29,29,1,3,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False
hard,phase_scrambled,0,23,29,211,6,3,1.0,3,23.024567232762394,23.036175545094068,0.03246582944243099,22.980292562749124,23.057233590443982,0.07694102769485767,0.10558396705605462,2.4619053722537094,0.21782626516585415,0.09348672452986866,True
hard,phase_scrambled,0,24,29,211,6,3,1.0,3,26.211626422294632,26.20823212497134,0.010671559564265392,26.20058848813121,26.226058653781344,0.025470165650133936,0.03489629748610982,1.8965764690288016,0.12760279127880234,0.06775607274560054,True
hard,phase_scrambled,0,25,47,211,5,3,1.0,3,6.4798184526307665,6.469406529641853,0.020255060399866773,6.461913916457322,6.508134911793125,0.04622099533580304,0.05464340483127894,1.3334525068187635,0.3267744353627385,0.27439960722805457,True
hard,phase_scrambled,0,26,47,211,5,3,1.0,3,31.729766807923227,31.741841334968637,0.01986452596825577,31.701762445470813,31.745696643330223,0.04393419785941077,0.056226189699842354,2.4907905152955916,0.1683360347077602,0.07069688696747224,True
hard,phase_scrambled,0,27,71,151,3,3,0.6666666666666666,2,0.17546983555050838,0.17546983555050838,0.06462819869852576,0.11084163685198262,0.24009803424903414,0.12925639739705153,0.3214059477858557,0.22311231711872836,0.10428824552138205,0.4674248686408714,False
hard,phase_scrambled,0,28,101,211,2,3,0.6666666666666666,2,12.129626884586148,12.129626884586148,0.007860286472138434,12.12176659811401,12.137487171058288,0.015720572944276867,0.021338089150495468,0.16479487659429454,0.03928218168439877,0.23837016354038026,False
hard,phase_scrambled,0,29,101,211,3,3,1.0,3,27.657613797705647,27.65882403345093,0.024871662694976416,27.626565274883824,27.68745208478218,0.060886809898356375,0.03489418862899678,0.539061398539894,0.12214001457065574,0.2443412298460174,False
