variant,dataset,replicate,predicted_index,hard_track_id,taper_track_id,hard_tau,taper_tau,consensus_tau,agreement_error,hard_persistence,taper_persistence,hard_tail_drift,taper_tail_drift,hard_prominence,taper_prominence
loose,phase_scrambled,0,5,17,6,16.512794238764744,16.440734022710565,16.476764130737656,0.07206021605417945,1.0,1.0,0.061009357887485294,0.17489689603282343,6.595241116916435,5.578844850800075
loose,phase_scrambled,0,6,18,11,18.087568585117815,18.116141599209172,18.101855092163493,0.028573014091357152,1.0,1.0,0.08574398237606218,0.06361783474604721,2.5529606515650505,1.5080625055061398
loose,phase_scrambled,0,7,11,7,19.513373006522052,19.546342998982748,19.5298580027524,0.03296999246069632,1.0,1.0,0.04051938196061755,0.04378513460315503,2.3076548343722965,1.2806786046789131
loose,phase_scrambled,0,8,23,4,23.036175545094068,22.949018154569643,22.992596849831855,0.08715739052442473,1.0,1.0,0.07694102769485767,0.03000175973008723,2.4619053722537094,5.585574004168967
loose,phase_scrambled,0,9,6,17,24.463747403161005,24.392247013624107,24.427997208392554,0.0715003895368973,1.0,1.0,0.03839132123473732,0.09502183032912015,6.709776987114854,1.7888143459175008
loose,phase_scrambled,0,10,24,15,26.20823212497134,26.336848959195503,26.27254054208342,0.12861683422416448,1.0,1.0,0.025470165650133936,0.19192314302197033,1.8965764690288016,1.4889989939176838
loose,phase_scrambled,0,11,19,12,28.58553410978892,28.525261031272798,28.555397570530857,0.06027307851612207,1.0,1.0,0.04124990782747773,0.0802327542509289,5.377382562205646,4.567406228776706
loose,phase_scrambled,0,12,13,16,30.280343330558992,30.27686310571232,30.278603218135657,0.0034802248466725416,1.0,1.0,0.044194194344932214,0.07156649282877936,1.8596840482485861,1.1660934347232514
loose,phase_scrambled,0,13,26,18,31.741841334968637,31.68354800751988,31.712694671244257,0.05829332744875515,1.0,1.0,0.04393419785941077,0.09114452517054872,2.4907905152955916,1.5753308481881259
loose,phase_scrambled,0,14,14,13,33.52542060499405,33.59813815946445,33.56177938222925,0.07271755447039396,1.0,1.0,0.048540031486560054,0.08414001537523319,5.226105529204345,5.001584062300965
strict,phase_scrambled,1,1,3,2,10.348929089974895,10.320910621785773,10.334919855880333,0.02801846818912246,1.0,1.0,0.10002879659718467,0.023829477427396384,7.256063623424826,5.8224588358674545
strict,phase_scrambled,1,2,4,7,13.298127421838288,13.376679231194988,13.337403326516638,0.07855180935669992,1.0,1.0,0.10362820149464014,0.0332592641495264,4.806926116872027,3.9658023058125025
strict,phase_scrambled,1,3,10,8,15.445272297050717,15.426430449506828,15.435851373278773,0.0188418475438894,1.0,1.0,0.13096891016699352,0.03458917673169282,2.511149714560975,2.4762198996132834
strict,phase_scrambled,1,4,15,4,18.711079667697508,18.68624024815719,18.698659957927347,0.02483941954031721,1.0,1.0,0.07270236632862748,0.0318034037521997,6.139192105260014,6.552101679981317
strict,phase_scrambled,1,5,18,13,20.509692779291914,20.515193162624204,20.51244297095806,0.005500383332289971,1.0,1.0,0.038757073966017686,0.008099553595997122,2.5397039611460968,1.5749604400680686
strict,phase_scrambled,1,6,6,9,22.10531132039301,22.17355824591758,22.139434783155295,0.06824692552456924,1.0,1.0,0.09043848576024871,0.019691674344414878,2.5191427514912776,2.114817978132483
strict,phase_scrambled,1,7,7,5,26.69618078195504,26.613113054499642,26.654646918227343,0.08306772745539703,1.0,1.0,0.09615629797624692,0.06301232581440175,7.993787718835779,6.88237800705458
strict,phase_scrambled,1,8,11,10,29.476643220323357,29.554876606935817,29.515759913629587,0.07823338661246027,1.0,1.0,0.07947337254436704,0.04178035464680363,4.6954481425237855,0.7429066482627326
baseline,phase_scrambled,1,1,13,11,5.499751467927079,5.311305871301886,5.405528669614482,0.18844559662519345,1.0,1.0,0.3751085352137675,0.09353484134634371,1.1785107884532477,0.5954874724849379
baseline,phase_scrambled,1,2,3,2,10.348929089974895,10.320910621785773,10.334919855880333,0.02801846818912246,1.0,1.0,0.10002879659718467,0.023829477427396384,7.256063623424826,5.8224588358674545
baseline,phase_scrambled,1,3,4,7,13.298127421838288,13.376679231194988,13.337403326516638,0.07855180935669992,1.0,1.0,0.10362820149464014,0.0332592641495264,4.806926116872027,3.9658023058125025
baseline,phase_scrambled,1,4,10,8,15.445272297050717,15.426430449506828,15.435851373278773,0.0188418475438894,1.0,1.0,0.13096891016699352,0.03458917673169282,2.511149714560975,2.4762198996132834
baseline,phase_scrambled,1,5,15,4,18.711079667697508,18.68624024815719,18.698659957927347,0.02483941954031721,1.0,1.0,0.07270236632862748,0.0318034037521997,6.139192105260014,6.552101679981317
baseline,phase_scrambled,1,6,18,13,20.509692779291914,20.515193162624204,20.51244297095806,0.005500383332289971,1.0,1.0,0.038757073966017686,0.008099553595997122,2.5397039611460968,1.5749604400680686
baseline,phase_scrambled,1,7,6,9,22.10531132039301,22.17355824591758,22.139434783155295,0.06824692552456924,1.0,1.0,0.09043848576024871,0.019691674344414878,2.5191427514912776,2.114817978132483
baseline,phase_scrambled,1,8,7,5,26.69618078195504,26.613113054499642,26.654646918227343,0.08306772745539703,1.0,1.0,0.09615629797624692,0.06301232581440175,7.993787718835779,6.88237800705458
baseline,phase_scrambled,1,9,11,10,29.476643220323357,29.554876606935817,29.515759913629587,0.07823338661246027,1.0,1.0,0.07947337254436704,0.04178035464680363,4.6954481425237855,0.7429066482627326
loose,phase_scrambled,1,1,13,11,5.499751467927079,5.311305871301886,5.405528669614482,0.18844559662519345,1.0,1.0,0.3751085352137675,0.09353484134634371,1.1785107884532477,0.5954874724849379
loose,phase_scrambled,1,2,14,12,8.861735041663982,8.697882949913687,8.779808995788834,0.1638520917502948,1.0,1.0,0.19676342806251768,0.09425319392317988,2.109641947693166,1.3787283339631105
