variant,dataset,replicate,kind,predicted_index,predicted_tau,zero_index,gamma,distance,reason
loose,phase_scrambled,1,extra,5,15.435851373278773,1,14.134725141734695,1.3011262315440781,no_in_window_reference_within_tolerance
loose,phase_scrambled,1,extra,6,18.698659957927347,2,21.022039638771556,2.3233796808442087,no_in_window_reference_within_tolerance
loose,phase_scrambled,1,extra,7,20.51244297095806,2,21.022039638771556,0.5095966678134971,no_in_window_reference_within_tolerance
loose,phase_scrambled,1,extra,8,22.139434783155295,2,21.022039638771556,1.1173951443837389,no_in_window_reference_within_tolerance
loose,phase_scrambled,1,extra,9,26.654646918227343,3,25.01085758014569,1.6437893380816533,no_in_window_reference_within_tolerance
loose,phase_scrambled,1,extra,10,29.515759913629587,4,30.424876125859512,0.9091162122299252,no_in_window_reference_within_tolerance
loose,phase_scrambled,1,missing,,,1,14.134725141734695,0.7973218152180568,no_one_to_one_prediction
loose,phase_scrambled,1,missing,,,2,21.022039638771556,0.5095966678134971,no_one_to_one_prediction
loose,phase_scrambled,1,missing,,,3,25.01085758014569,1.6437893380816533,no_one_to_one_prediction
loose,phase_scrambled,1,missing,,,4,30.424876125859512,0.9091162122299252,no_one_to_one_prediction
loose,phase_scrambled,1,missing,,,5,32.93506158773919,3.4193016741096045,no_one_to_one_prediction
loose,shuffled_rates,0,matched,4,14.18616904673398,1,14.134725141734695,0.051443904999285195,one_to_one_within_tolerance
loose,shuffled_rates,0,matched,6,21.018445232023893,2,21.022039638771556,0.0035944067476627595,one_to_one_within_tolerance
loose,shuffled_rates,0,matched,7,25.01539900558283,3,25.01085758014569,0.004541425437139424,one_to_one_within_tolerance
loose,shuffled_rates,0,matched,9,30.45882349312592,4,30.424876125859512,0.033947367266407014,one_to_one_within_tolerance
loose,shuffled_rates,0,matched,10,32.82981763559363,5,32.93506158773919,0.10524395214556392,one_to_one_within_tolerance
loose,shuffled_rates,0,extra,1,0.9048783341299333,1,14.134725141734695,13.229846807604762,no_in_window_reference_within_tolerance
loose,shuffled_rates,0,extra,2,9.214571946183401,1,14.134725141734695,4.920153195551293,no_in_window_reference_within_tolerance
loose,shuffled_rates,0,extra,3,12.512504244177947,1,14.134725141734695,1.6222208975567476,no_in_window_reference_within_tolerance
loose,shuffled_rates,0,extra,5,16.111182722658114,1,14.134725141734695,1.9764575809234195,no_in_window_reference_within_tolerance
loose,shuffled_rates,0,extra,8,26.68166370645548,3,25.01085758014569,1.6708061263097918,no_in_window_reference_within_tolerance
loose,shuffled_rates,0,extra,11,34.68165344461144,5,32.93506158773919,1.74659185687225,no_in_window_reference_within_tolerance
loose,shuffled_rates,1,matched,3,14.149940800849745,1,14.134725141734695,0.015215659115050073,one_to_one_within_tolerance
loose,shuffled_rates,1,matched,4,21.0239146592507,2,21.022039638771556,0.0018750204791437852,one_to_one_within_tolerance
loose,shuffled_rates,1,matched,5,25.021017260691195,3,25.01085758014569,0.010159680545505978,one_to_one_within_tolerance
loose,shuffled_rates,1,matched,7,30.446107709048942,4,30.424876125859512,0.021231583189429415,one_to_one_within_tolerance
loose,shuffled_rates,1,matched,8,32.871567031393056,5,32.93506158773919,0.06349455634613577,one_to_one_within_tolerance
loose,shuffled_rates,1,extra,1,0.9079781663955672,1,14.134725141734695,13.226746975339127,no_in_window_reference_within_tolerance
loose,shuffled_rates,1,extra,2,12.529805730092233,1,14.134725141734695,1.6049194116424612,no_in_window_reference_within_tolerance
loose,shuffled_rates,1,extra,6,26.67519735829564,3,25.01085758014569,1.6643397781499516,no_in_window_reference_within_tolerance
