variant,dataset,replicate,predicted_index,predicted_tau,zero_index,gamma,signed_error,absolute_error,relative_error,nearest_zero_index,nearest_zero_gamma,nearest_zero_distance
loose,phase_scrambled,1,3,10.334919855880333,3,25.01085758014569,-14.675937724265356,14.675937724265356,0.5867826673770483,1,14.134725141734695,3.7998052858543616
loose,phase_scrambled,1,4,13.337403326516638,4,30.424876125859512,-17.087472799342876,17.087472799342876,0.561628344143674,1,14.134725141734695,0.7973218152180568
loose,phase_scrambled,1,5,15.435851373278773,5,32.93506158773919,-17.49921021446042,17.49921021446042,0.5313246543608982,1,14.134725141734695,1.3011262315440781
loose,phase_scrambled,1,6,18.698659957927347,6,37.586178158825675,-18.887518200898327,18.887518200898327,0.5025123363457297,2,21.022039638771556,2.3233796808442087
loose,phase_scrambled,1,7,20.51244297095806,7,40.9187190121475,-20.40627604118944,20.40627604118944,0.49870270951374235,2,21.022039638771556,0.5095966678134971
loose,phase_scrambled,1,8,22.139434783155295,8,43.327073280915,-21.187638497759707,21.187638497759707,0.489016148411127,2,21.022039638771556,1.1173951443837389
loose,phase_scrambled,1,9,26.654646918227343,9,48.00515088116716,-21.35050396293982,21.35050396293982,0.4447544392848853,3,25.01085758014569,1.6437893380816533
loose,phase_scrambled,1,10,29.515759913629587,10,49.7738324776723,-20.258072564042713,20.258072564042713,0.40700246606748924,4,30.424876125859512,0.9091162122299252
loose,shuffled_rates,0,1,0.9048783341299333,1,14.134725141734695,-13.229846807604762,13.229846807604762,0.9359818938779251,1,14.134725141734695,13.229846807604762
loose,shuffled_rates,0,2,9.214571946183401,2,21.022039638771556,-11.807467692588155,11.807467692588155,0.5616708890040956,1,14.134725141734695,4.920153195551293
loose,shuffled_rates,0,3,12.512504244177947,3,25.01085758014569,-12.498353335967742,12.498353335967742,0.4997171046981324,1,14.134725141734695,1.6222208975567476
loose,shuffled_rates,0,4,14.18616904673398,4,30.424876125859512,-16.238707079125533,16.238707079125533,0.5337312471528357,1,14.134725141734695,0.051443904999285195
loose,shuffled_rates,0,5,16.111182722658114,5,32.93506158773919,-16.823878865081078,16.823878865081078,0.5108197177728716,1,14.134725141734695,1.9764575809234195
loose,shuffled_rates,0,6,21.018445232023893,6,37.586178158825675,-16.56773292680178,16.56773292680178,0.4407932314052389,2,21.022039638771556,0.0035944067476627595
loose,shuffled_rates,0,7,25.01539900558283,7,40.9187190121475,-15.90332000656467,15.90332000656467,0.38865635069962645,3,25.01085758014569,0.004541425437139424
loose,shuffled_rates,0,8,26.68166370645548,8,43.327073280915,-16.64540957445952,16.64540957445952,0.3841803360808034,3,25.01085758014569,1.6708061263097918
loose,shuffled_rates,0,9,30.45882349312592,9,48.00515088116716,-17.54632738804124,17.54632738804124,0.3655092644428042,4,30.424876125859512,0.033947367266407014
loose,shuffled_rates,0,10,32.82981763559363,10,49.7738324776723,-16.944014842078673,16.944014842078673,0.34042013641765423,5,32.93506158773919,0.10524395214556392
loose,shuffled_rates,0,11,34.68165344461144,11,52.970321477714464,-18.288668033103022,18.288668033103022,0.34526254557086994,5,32.93506158773919,1.74659185687225
loose,shuffled_rates,1,1,0.9079781663955672,1,14.134725141734695,-13.226746975339127,13.226746975339127,0.9357625877198957,1,14.134725141734695,13.226746975339127
loose,shuffled_rates,1,2,12.529805730092233,2,21.022039638771556,-8.492233908679323,8.492233908679323,0.4039681236742057,1,14.134725141734695,1.6049194116424612
loose,shuffled_rates,1,3,14.149940800849745,3,25.01085758014569,-10.860916779295945,10.860916779295945,0.43424807584037584,1,14.134725141734695,0.015215659115050073
loose,shuffled_rates,1,4,21.0239146592507,4,30.424876125859512,-9.400961466608813,9.400961466608813,0.30898930952814957,2,21.022039638771556,0.0018750204791437852
loose,shuffled_rates,1,5,25.021017260691195,5,32.93506158773919,-7.914044327047996,7.914044327047996,0.24029237977785275,3,25.01085758014569,0.010159680545505978
loose,shuffled_rates,1,6,26.67519735829564,6,37.586178158825675,-10.910980800530034,10.910980800530034,0.29029237169110816,3,25.01085758014569,1.6643397781499516
loose,shuffled_rates,1,7,30.446107709048942,7,40.9187190121475,-10.472611303098557,10.472611303098557,0.25593692950137475,4,30.424876125859512,0.021231583189429415
loose,shuffled_rates,1,8,32.871567031393056,8,43.327073280915,-10.455506249521946,10.455506249521946,0.24131577459046738,5,32.93506158773919,0.06349455634613577
