variant,dataset,replicate,predicted_index,predicted_tau,zero_index,gamma,signed_error,absolute_error,relative_error,nearest_zero_index,nearest_zero_gamma,nearest_zero_distance
loose,phase_scrambled,0,4,11.193871215389724,4,30.424876125859512,-19.23100491046979,19.23100491046979,0.6320816173882288,1,14.134725141734695,2.940853926344971
loose,phase_scrambled,0,5,16.476764130737656,5,32.93506158773919,-16.458297457001535,16.458297457001535,0.49971965023221643,1,14.134725141734695,2.342038989002962
loose,phase_scrambled,0,6,18.101855092163493,6,37.586178158825675,-19.48432306666218,19.48432306666218,0.5183906430797097,2,21.022039638771556,2.9201845466080627
loose,phase_scrambled,0,7,19.5298580027524,7,40.9187190121475,-21.3888610093951,21.3888610093951,0.5227158016125923,2,21.022039638771556,1.4921816360191578
loose,phase_scrambled,0,8,22.992596849831855,8,43.327073280915,-20.334476431083147,20.334476431083147,0.46932494838141336,2,21.022039638771556,1.9705572110602994
loose,phase_scrambled,0,9,24.427997208392554,9,48.00515088116716,-23.577153672774607,23.577153672774607,0.491137997485685,3,25.01085758014569,0.5828603717531351
loose,phase_scrambled,0,10,26.27254054208342,10,49.7738324776723,-23.50129193558888,23.50129193558888,0.4721615910555243,3,25.01085758014569,1.2616829619377299
loose,phase_scrambled,0,11,28.555397570530857,11,52.970321477714464,-24.414923907183606,24.414923907183606,0.46091704233766806,4,30.424876125859512,1.869478555328655
loose,phase_scrambled,0,12,30.278603218135657,12,56.44624769706339,-26.167644478927734,26.167644478927734,0.4635851902745539,4,30.424876125859512,0.14627290772385493
loose,phase_scrambled,0,13,31.712694671244257,13,59.34704400260235,-27.634349331358095,27.634349331358095,0.4656398611891493,5,32.93506158773919,1.2223669164949342
loose,phase_scrambled,0,14,33.56177938222925,14,60.83177852460981,-27.269999142380563,27.269999142380563,0.4482854160074959,5,32.93506158773919,0.6267177944900553
loose,phase_scrambled,1,1,5.405528669614482,1,14.134725141734695,-8.729196472120211,8.729196472120211,0.6175710093113925,1,14.134725141734695,8.729196472120211
loose,phase_scrambled,1,2,8.779808995788834,2,21.022039638771556,-12.242230642982722,12.242230642982722,0.5823521814888039,1,14.134725141734695,5.354916145945861
