frame_prime,source_type,source_prime_q,zero_index,k,sign,raw_real,raw_imag,normalized_X,normalized_Y,expected_X,expected_Y,residual_X,residual_Y
3,inherited,,6,,1,0.3333333333333333,25.057452105883783,1.0,75.17235631765135,1.0,75.17235631765135,0.0,0.0
3,inherited,,6,,-1,0.3333333333333333,-25.057452105883783,1.0,-75.17235631765135,1.0,-75.17235631765135,0.0,0.0
3,inherited,,7,,1,0.3333333333333333,27.27914600809833,1.0,81.83743802429498,1.0,81.837438024295,0.0,-1.4210854715202004e-14
3,inherited,,7,,-1,0.3333333333333333,-27.27914600809833,1.0,-81.83743802429498,1.0,-81.837438024295,0.0,1.4210854715202004e-14
3,inherited,,8,,1,0.3333333333333333,28.88471552061,1.0,86.65414656183,1.0,86.65414656183,0.0,0.0
3,inherited,,8,,-1,0.3333333333333333,-28.88471552061,1.0,-86.65414656183,1.0,-86.65414656183,0.0,0.0
3,inherited,,9,,1,0.3333333333333333,32.00343392077811,1.0,96.01030176233432,1.0,96.01030176233432,0.0,0.0
3,inherited,,9,,-1,0.3333333333333333,-32.00343392077811,1.0,-96.01030176233432,1.0,-96.01030176233432,0.0,0.0
3,inherited,,10,,1,0.3333333333333333,33.18255498511486,1.0,99.54766495534459,1.0,99.5476649553446,0.0,-1.4210854715202004e-14
3,inherited,,10,,-1,0.3333333333333333,-33.18255498511486,1.0,-99.54766495534459,1.0,-99.5476649553446,0.0,1.4210854715202004e-14
3,passed_prime_factor,2,,-5,,-0.0,-30.21573427884796,0.0,-90.64720283654388,0.0,-90.64720283654387,0.0,-1.4210854715202004e-14
3,passed_prime_factor,2,,-4,,-0.0,-24.17258742307837,0.0,-72.5177622692351,0.0,-72.5177622692351,0.0,0.0
3,passed_prime_factor,2,,-3,,-0.0,-18.129440567308777,0.0,-54.38832170192633,0.0,-54.38832170192632,0.0,-7.105427357601002e-15
