dataset,replicate,prime_cutoff,zero_index,gamma,in_window,L_at_gamma,slope_at_gamma,curvature_at_gamma,phase_at_gamma,phase_slope_at_gamma,peak_bracketed,nearest_peak_tau,nearest_peak_value,nearest_peak_prominence,nearest_peak_width,nearest_peak_id,nearest_peak_track_id,peak_offset,min_bracketed,nearest_min_tau,nearest_min_value,nearest_min_prominence,nearest_min_width,nearest_min_id,nearest_min_track_id,min_offset,peak_track_switched,min_track_switched,peak_common_cohort,min_common_cohort
shuffled_rates,0,5,10,49.7738324776723,True,1.676852164367354,-2.150934240979538,-3.009216405211857,-1.0164538911194634,-1.0230781210855822,True,48.85546046160484,2.597407893740757,4.804730324324583,2.864733507291876,peak_17,33,-0.9183720160674582,True,51.36673417870638,-2.20759632953596,4.6450588914836235,1.863531310742519,min_17,34,1.59290170103408,False,False,True,True
shuffled_rates,0,5,11,52.970321477714464,True,0.9905407812648583,-0.09225070870814145,-2.455799880903647,-0.025619089451494936,-0.9105009544631364,True,52.93300016982039,0.9922660066391742,2.8129518807940768,2.072994297943915,peak_18,35,-0.03732130789407506,True,51.36673417870638,-2.20759632953596,4.6450588914836235,1.863531310742519,min_17,34,-1.6035872990080833,False,False,True,True
shuffled_rates,0,5,12,56.44624769706339,True,0.3382872526671604,-1.3566591808602773,-3.819403629048625,-0.2482490665773915,-0.7089077708763684,True,56.047396703880146,0.5991599030929662,1.9358425392610985,1.5420470601744911,peak_19,37,-0.39885099318324535,True,57.21227580544744,-1.3373008010742153,1.9358425392610985,1.046524187904497,min_19,38,0.7660281083840488,False,False,False,True
shuffled_rates,0,5,13,59.34704400260235,True,1.6298945934135043,2.138792287817166,-3.1964038746123107,0.8136299960722096,-0.9136751476230425,False,57.962601120716826,-0.32837384590984875,0.3760133536653434,0.5586664753087917,peak_20,39,-1.3844428818855263,False,58.47768162057274,-0.7044383773402467,0.3760133536653434,0.3867307859092398,min_20,40,-0.8693623820296139,False,False,False,False
shuffled_rates,0,5,14,60.83177852460981,False,2.0846164222853716,-1.3001575881580587,-2.2153525771483746,-0.9104155823909108,-1.1623698422336761,False,,,,,,,,False,,,,,,,,False,False,False,False
shuffled_rates,0,5,15,65.1125440480816,False,1.3662745397835454,0.16666470945191725,-2.4512209144296215,0.36577242115773567,-0.9687505495763581,False,,,,,,,,False,,,,,,,,False,False,False,False
shuffled_rates,0,5,16,67.07981052949417,False,1.0243900897703746,1.2502528219096838,-3.645020922445635,0.2246493724447069,-0.7685123320625564,False,,,,,,,,False,,,,,,,,False,False,False,False
shuffled_rates,0,5,17,69.54640171117398,False,0.057339687799716876,-0.5154280649625894,-4.56680565503373,-0.1517302911443762,-0.5499109589514918,False,,,,,,,,False,,,,,,,,False,False,False,False
shuffled_rates,0,5,18,72.0671576744819,False,0.8142124536176738,-0.7063351333461235,-0.9857388051489294,-0.40378997979323017,-0.5829359475799677,False,,,,,,,,False,,,,,,,,False,False,False,False
shuffled_rates,0,5,19,75.70469069908393,False,1.6772705774572576,1.929975857283941,-2.6975861965214434,1.164189020633315,-1.1016991870800816,False,,,,,,,,False,,,,,,,,False,False,False,False
