dataset,replicate,prime_cutoff,zero_index,gamma,in_window,phase_at_gamma,phase_slope_at_gamma,abs_rotation_window_percentile,nearest_stationary_phase_offset,nearest_rotation_max_grid_offset
phase_scrambled,1,29,20,77.1448400688748,False,-1.3050372920700348,-1.2504295282006543,,,
phase_scrambled,1,101,1,14.134725141734695,True,-1.2052407547427137,2.927729796696725,0.7924025324891703,-0.2949049033508331,0.12527485826530516
phase_scrambled,1,101,2,21.022039638771556,True,-0.9337166502238844,0.45038430035188237,0.15561479506831055,-0.06311232645873943,0.41796036122844527
phase_scrambled,1,101,3,25.01085758014569,True,1.4716688551979686,-2.078820657272317,0.6341219593468844,-0.3508029615888226,0.06914241985431246
phase_scrambled,1,101,4,30.424876125859512,True,0.059415510328538174,0.6998009737935494,0.2392535821392869,0.11898743775411447,-0.1848761258595104
phase_scrambled,1,101,5,32.93506158773919,True,-0.45820505696018266,2.8557766810295306,0.7837387537487505,0.27598230860358797,-0.07506158773919225
phase_scrambled,1,101,6,37.586178158825675,True,0.42531037388657217,-3.616286811730888,0.8757080973008997,0.6498426556753856,0.21382184117432956
phase_scrambled,1,101,7,40.9187190121475,True,0.0456193706167122,0.7486121237019926,0.2542485838053982,-0.08634998882385503,-0.29871901214750096
phase_scrambled,1,101,8,43.327073280915,True,0.46058746116482885,0.522985644613807,0.17560813062312564,-0.8059140383495631,-0.4470732809149993
phase_scrambled,1,101,9,48.00515088116716,True,0.9630088744566725,-0.10605091758174268,0.03898700433188937,-0.008992620224837822,-0.38515088116716356
phase_scrambled,1,101,10,49.7738324776723,True,-0.27805068333368704,1.8161594685123046,0.5658113962012662,0.15360916715007278,-0.2338324776723013
phase_scrambled,1,101,11,52.970321477714464,True,1.1162763863031735,2.215022081418461,0.6714428523825392,-0.27317010469595004,-0.010321477714462901
phase_scrambled,1,101,12,56.44624769706339,True,0.5096196884195413,2.171090855420556,0.6567810729756748,0.22667786271288293,-0.2862476970633878
phase_scrambled,1,101,13,59.34704400260235,True,-0.3241057024226623,0.7018627305581102,0.24025324891702765,-0.6831279964014101,-0.3670440026023485
phase_scrambled,1,101,14,60.83177852460981,False,1.1001639527192795,-0.8507695169018984,,,
phase_scrambled,1,101,15,65.1125440480816,False,-0.07797980115713879,-1.9788402358993848,,,
phase_scrambled,1,101,16,67.07981052949417,False,-0.9417026699509926,-0.3821657701320064,,,
phase_scrambled,1,101,17,69.54640171117398,False,-0.7594887017808922,2.8138344951205627,,,
phase_scrambled,1,101,18,72.0671576744819,False,0.5976461508109256,-0.1403235903446226,,,
phase_scrambled,1,101,19,75.70469069908393,False,1.5963560950317752,0.2632246538233368,,,
phase_scrambled,1,101,20,77.1448400688748,False,-0.6701577742236984,-0.9778052754286997,,,
shuffled_rates,0,5,1,14.134725141734695,True,-0.3128135869581268,-1.2222426792019765,0.7950683105631456,1.1058025805828091,-0.3547251417346935
shuffled_rates,0,5,2,21.022039638771556,True,0.1431865730463115,-1.1521325192700018,0.7544151949350216,-1.1001695852896134,0.19796036122844285
shuffled_rates,0,5,3,25.01085758014569,True,0.10953569724951157,-1.1150347189909582,0.7060979673442186,-1.1588765972732666,0.04914241985431289
shuffled_rates,0,5,4,30.424876125859512,True,0.1435351770221548,-0.8872890446810904,0.5231589470176607,0.4448304682071793,-0.444876125859512
shuffled_rates,0,5,5,32.93506158773919,True,-0.7380443259362619,-1.1295864888415186,0.7237587470843052,0.9624452112122768,-0.25506158773919196
shuffled_rates,0,5,6,37.586178158825675,True,-0.02052597929675204,-0.9290769536546146,0.5584805064978341,1.0488275736351298,0.1538218411743273
shuffled_rates,0,5,7,40.9187190121475,True,0.7864520807080789,-0.9606129188477738,0.5811396201266245,-0.49858718238205313,0.5812809878525016
shuffled_rates,0,5,8,43.327073280915,True,-0.07999399333479668,0.03693423003542792,0.015661446184605132,0.010513485611376439,-0.38707328091500415
shuffled_rates,0,5,9,48.00515088116716,True,1.0807566006422746,-1.0826804179298304,0.6694435188270577,-0.7417080947046983,0.8548491188328384
shuffled_rates,0,5,10,49.7738324776723,True,-1.0164538911194634,-1.0230781210855822,0.6227924025324891,0.5748599267518202,-0.913832477672301
shuffled_rates,0,5,11,52.970321477714464,True,-0.025619089451494936,-0.9105009544631364,0.5414861712762412,1.0704345429548,-0.21032147771446574
shuffled_rates,0,5,12,56.44624769706339,True,-0.2482490665773915,-0.7089077708763684,0.3855381539486838,0.35039003909509603,-0.3662476970633932
shuffled_rates,0,5,13,59.34704400260235,True,0.8136299960722096,-0.9136751476230425,0.5441519493502166,-0.4193788628370072,-0.7870440026023502
shuffled_rates,0,5,14,60.83177852460981,False,-0.9104155823909108,-1.1623698422336761,,,
shuffled_rates,0,5,15,65.1125440480816,False,0.36577242115773567,-0.9687505495763581,,,
shuffled_rates,0,5,16,67.07981052949417,False,0.2246493724447069,-0.7685123320625564,,,
shuffled_rates,0,5,17,69.54640171117398,False,-0.1517302911443762,-0.5499109589514918,,,
shuffled_rates,0,5,18,72.0671576744819,False,-0.40378997979323017,-0.5829359475799677,,,
shuffled_rates,0,5,19,75.70469069908393,False,1.164189020633315,-1.1016991870800816,,,
shuffled_rates,0,5,20,77.1448400688748,False,-0.5308130204846774,-1.0466437750278872,,,
shuffled_rates,0,29,1,14.134725141734695,True,0.025003938590189942,-1.449849472342753,0.37187604131956015,-0.09237040437279909,0.24527485826530615
shuffled_rates,0,29,2,21.022039638771556,True,0.5488306828739412,-2.0524310328065614,0.5038320559813395,-0.3761688571954558,-0.20203963877155573
shuffled_rates,0,29,3,25.01085758014569,True,0.14196942846757488,-4.521523007953268,0.8793735421526158,-0.5833851194704316,0.04914241985431289
shuffled_rates,0,29,4,30.424876125859512,True,1.1413712172767314,-3.9195927215913744,0.8237254248583805,-0.24691670879794003,0.15512387414048945
shuffled_rates,0,29,5,32.93506158773919,True,-0.3407294375552703,-4.605777094772457,0.8883705431522826,0.5276540205114486,-0.05506158773918912
shuffled_rates,0,29,6,37.586178158825675,True,0.21928647536696044,-2.947448531798945,0.704431856047984,-0.15716016410616618,0.073821841174329
shuffled_rates,0,29,7,40.9187190121475,True,-0.6055746044905365,-1.0331031227478484,0.26991002999000335,0.02697017063843532,0.14128098785250387
shuffled_rates,0,29,8,43.327073280915,True,0.4508502567375692,-4.086160284488203,0.8367210929690103,-0.280464492566189,0.13292671908499898
shuffled_rates,0,29,9,48.00515088116716,True,-0.4391582637870465,-0.35044821200455956,0.09830056647784072,0.015159771901750219,0.09484911883284042
shuffled_rates,0,29,10,49.7738324776723,True,-1.0209610252816341,-1.5477194885395757,0.3912029323558814,0.17351720816069616,-0.2938324776722965
