dataset,replicate,prime_cutoff,zero_index,gamma,in_window,L_at_gamma,slope_at_gamma,curvature_at_gamma,phase_at_gamma,phase_slope_at_gamma,peak_bracketed,nearest_peak_tau,nearest_peak_value,nearest_peak_prominence,nearest_peak_width,nearest_peak_id,nearest_peak_track_id,peak_offset,min_bracketed,nearest_min_tau,nearest_min_value,nearest_min_prominence,nearest_min_width,nearest_min_id,nearest_min_track_id,min_offset,peak_track_switched,min_track_switched,peak_common_cohort,min_common_cohort
real,0,5,12,56.44624769706339,True,0.37761668050159913,-0.773715118310237,-2.747842303464731,0.13347742960741515,-0.5831706461557845,False,56.17614130935087,0.48310973154676284,0.9623789562153141,1.1605307555739182,peak_15,29,-0.2701063877125236,True,57.22766368193761,-0.4794705377048484,0.9623789562153141,1.1246470969138227,min_15,30,0.781415984874215,False,False,False,True
real,0,5,13,59.34704400260235,True,1.7485987373040304,1.7832568425728441,-2.2952482760550446,0.6137138604764437,-0.7802023849509265,False,56.17614130935087,0.48310973154676284,0.9623789562153141,1.1605307555739182,peak_15,29,-3.1709026932514845,False,57.22766368193761,-0.4794705377048484,0.9623789562153141,1.1246470969138227,min_15,30,-2.119380320664746,False,False,False,False
real,0,5,14,60.83177852460981,False,2.0312099314779024,-1.3332181088601183,-2.150458652101634,-0.9934865977100474,-1.1059305764080836,False,,,,,,,,False,,,,,,,,False,False,False,False
real,0,5,15,65.1125440480816,False,1.1700287412142893,0.534897076391821,-2.5608555588821016,0.6720517106088431,-0.9408687624772222,False,,,,,,,,False,,,,,,,,False,False,False,False
real,0,5,16,67.07981052949417,False,1.1846658054847796,0.9486676782350563,-2.436300963012774,0.2328393951848392,-0.6147973144365271,False,,,,,,,,False,,,,,,,,False,False,False,False
real,0,5,17,69.54640171117398,False,0.2728587561619985,-0.4624060539850938,-2.8692147317570713,-0.286478218173429,-0.34990461411589757,False,,,,,,,,False,,,,,,,,False,False,False,False
real,0,5,18,72.0671576744819,False,-0.326720884419748,-2.112062802851558,-1.3446917173983337,-0.7382275565950095,-0.1035441254042862,False,,,,,,,,False,,,,,,,,False,False,False,False
real,0,5,19,75.70469069908393,False,1.704684389810562,1.834426830273407,-2.41383015908563,1.129239960546446,-0.9913256031368833,False,,,,,,,,False,,,,,,,,False,False,False,False
real,0,5,20,77.1448400688748,False,2.1100797292222264,-1.245721013214259,-2.2450610176449075,-0.4324187837918985,-0.9290952966773509,False,,,,,,,,False,,,,,,,,False,False,False,False
real,0,29,1,14.134725141734695,True,4.070088954638712,-0.5334381128325938,-9.542168490538563,-0.21860625452251323,-2.9086467671291834,True,14.07720997506649,4.085294950248089,7.195215152927968,1.984646319226356,peak_8,9,-0.057515166668205,True,12.859772589448525,-0.3011831941249361,0.3427504688245825,0.3626698598496864,min_7,39,-1.2749525522861695,False,True,True,True
