zero_index,gamma,p_ext,P_int,E,standard_mass_equivalent,equivalence_error,standard_KG_E
2,21.022039638771556,26.4,21.022039638771556,33.74738731478457,21.022039638771556,0.0,33.74738731478457
2,21.022039638771556,27.0,21.022039638771556,34.2187982047015,21.022039638771556,0.0,34.2187982047015
2,21.022039638771556,27.599999999999994,21.022039638771556,34.694180355991726,21.022039638771556,0.0,34.694180355991726
2,21.022039638771556,28.199999999999996,21.022039638771556,35.17337274948313,21.022039638771556,0.0,35.17337274948313
2,21.022039638771556,28.799999999999997,21.022039638771556,35.65622176526956,21.022039638771556,0.0,35.65622176526956
2,21.022039638771556,29.4,21.022039638771556,36.14258085104165,21.022039638771556,0.0,36.14258085104165
2,21.022039638771556,30.0,21.022039638771556,36.63231019979606,21.022039638771556,0.0,36.63231019979606
3,25.01085758014569,-30.0,25.01085758014569,39.05820012358904,25.01085758014569,0.0,39.05820012358904
3,25.01085758014569,-29.4,25.01085758014569,38.599261610739795,25.01085758014569,0.0,38.599261610739795
3,25.01085758014569,-28.8,25.01085758014569,38.1442393670962,25.01085758014569,0.0,38.1442393670962
3,25.01085758014569,-28.2,25.01085758014569,37.693275221109815,25.01085758014569,0.0,37.693275221109815
3,25.01085758014569,-27.6,25.01085758014569,37.246516573960726,25.01085758014569,0.0,37.246516573960726
3,25.01085758014569,-27.0,25.01085758014569,36.80411657538231,25.01085758014569,0.0,36.80411657538231
3,25.01085758014569,-26.4,25.01085758014569,36.36623429631299,25.01085758014569,0.0,36.36623429631299
3,25.01085758014569,-25.8,25.01085758014569,35.93303489679561,25.01085758014569,0.0,35.93303489679561
3,25.01085758014569,-25.2,25.01085758014569,35.50468978732712,25.01085758014569,0.0,35.50468978732712
3,25.01085758014569,-24.6,25.01085758014569,35.081376781624904,25.01085758014569,0.0,35.081376781624904
3,25.01085758014569,-24.0,25.01085758014569,34.663280238522304,25.01085758014569,0.0,34.663280238522304
3,25.01085758014569,-23.4,25.01085758014569,34.2505911904354,25.01085758014569,0.0,34.2505911904354
3,25.01085758014569,-22.8,25.01085758014569,33.84350745555683,25.01085758014569,0.0,33.84350745555683
3,25.01085758014569,-22.2,25.01085758014569,33.442233730633646,25.01085758014569,0.0,33.442233730633646
3,25.01085758014569,-21.6,25.01085758014569,33.04698166087685,25.01085758014569,0.0,33.04698166087685
3,25.01085758014569,-21.0,25.01085758014569,32.657969883235715,25.01085758014569,0.0,32.657969883235715
3,25.01085758014569,-20.4,25.01085758014569,32.27542403895464,25.01085758014569,0.0,32.27542403895464
3,25.01085758014569,-19.8,25.01085758014569,31.899576751021808,25.01085758014569,0.0,31.899576751021808
3,25.01085758014569,-19.200000000000003,25.01085758014569,31.530667561825126,25.01085758014569,0.0,31.530667561825126
3,25.01085758014569,-18.6,25.01085758014569,31.16894282606215,25.01085758014569,0.0,31.16894282606215
3,25.01085758014569,-18.0,25.01085758014569,30.81465555371877,25.01085758014569,0.0,30.81465555371877
3,25.01085758014569,-17.4,25.01085758014569,30.468065197749777,25.01085758014569,0.0,30.468065197749777
3,25.01085758014569,-16.8,25.01085758014569,30.12943738097894,25.01085758014569,0.0,30.12943738097894
3,25.01085758014569,-16.200000000000003,25.01085758014569,29.799043556703815,25.01085758014569,0.0,29.799043556703815
3,25.01085758014569,-15.600000000000001,25.01085758014569,29.477160597559784,25.01085758014569,0.0,29.477160597559784
3,25.01085758014569,-15.0,25.01085758014569,29.16407030738904,25.01085758014569,0.0,29.16407030738904
3,25.01085758014569,-14.4,25.01085758014569,28.860058851193134,25.01085758014569,0.0,28.860058851193134
3,25.01085758014569,-13.8,25.01085758014569,28.565416098743093,25.01085758014569,0.0,28.565416098743093
3,25.01085758014569,-13.2,25.01085758014569,28.28043487809781,25.01085758014569,0.0,28.28043487809781
3,25.01085758014569,-12.600000000000001,25.01085758014569,28.00541013615639,25.01085758014569,0.0,28.00541013615639
3,25.01085758014569,-12.0,25.01085758014569,27.740638004457125,25.01085758014569,0.0,27.740638004457125
3,25.01085758014569,-11.400000000000002,25.01085758014569,27.486414769742726,25.01085758014569,0.0,27.486414769742726
3,25.01085758014569,-10.8,25.01085758014569,27.243035750340507,25.01085758014569,0.0,27.243035750340507
3,25.01085758014569,-10.2,25.01085758014569,27.0107940811508,25.01085758014569,0.0,27.0107940811508
