frame_prime,source_prime_q,k,z_real,z_imag,frame_real,frame_imag,normalized_X,normalized_Y,phase_rate,delta_tau,delta_frame_imag,delta_normalized_Y
5,3,-1,0.0,-5.7192017347602535,-0.0,-2.2876806939041017,0.0,-11.438403469520509,1.0986122886681098,5.7192017347602535,2.2876806939041012,11.438403469520507
5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,5.7192017347602535,2.2876806939041012,11.438403469520507
5,3,1,0.0,5.7192017347602535,0.0,2.2876806939041017,0.0,11.438403469520509,1.0986122886681098,5.7192017347602535,2.2876806939041012,11.438403469520507
5,3,2,0.0,11.438403469520507,0.0,4.575361387808203,0.0,22.876806939041018,1.0986122886681098,5.7192017347602535,2.2876806939041012,11.438403469520507
5,3,3,0.0,17.157605204280763,0.0,6.863042081712305,0.0,34.315210408561526,1.0986122886681098,5.7192017347602535,2.2876806939041012,11.438403469520507
7,2,-2,0.0,-18.129440567308777,-0.0,-5.1798401620882215,0.0,-36.25888113461755,0.6931471805599453,9.064720283654388,2.5899200810441108,18.129440567308777
7,2,-1,0.0,-9.064720283654388,-0.0,-2.5899200810441108,0.0,-18.129440567308777,0.6931471805599453,9.064720283654388,2.5899200810441108,18.129440567308777
7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,9.064720283654388,2.5899200810441108,18.129440567308777
7,2,1,0.0,9.064720283654388,0.0,2.5899200810441108,0.0,18.129440567308777,0.6931471805599453,9.064720283654388,2.5899200810441108,18.129440567308777
7,2,2,0.0,18.129440567308777,0.0,5.1798401620882215,0.0,36.25888113461755,0.6931471805599453,9.064720283654388,2.5899200810441108,18.129440567308777
7,3,-3,0.0,-17.157605204280763,-0.0,-4.90217291550879,0.0,-34.315210408561526,1.0986122886681098,5.7192017347602535,1.6340576385029297,11.438403469520507
7,3,-2,0.0,-11.438403469520507,-0.0,-3.26811527700586,0.0,-22.876806939041018,1.0986122886681098,5.7192017347602535,1.6340576385029297,11.438403469520507
7,3,-1,0.0,-5.7192017347602535,-0.0,-1.63405763850293,0.0,-11.438403469520509,1.0986122886681098,5.7192017347602535,1.6340576385029297,11.438403469520507
7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,5.7192017347602535,1.6340576385029297,11.438403469520507
7,3,1,0.0,5.7192017347602535,0.0,1.63405763850293,0.0,11.438403469520509,1.0986122886681098,5.7192017347602535,1.6340576385029297,11.438403469520507
7,3,2,0.0,11.438403469520507,0.0,3.26811527700586,0.0,22.876806939041018,1.0986122886681098,5.7192017347602535,1.6340576385029297,11.438403469520507
7,3,3,0.0,17.157605204280763,0.0,4.90217291550879,0.0,34.315210408561526,1.0986122886681098,5.7192017347602535,1.6340576385029297,11.438403469520507
7,5,-5,0.0,-19.519812658311714,-0.0,-5.577089330946204,0.0,-39.03962531662343,1.6094379124341003,3.903962531662343,1.1154178661892407,7.807925063324686
7,5,-4,0.0,-15.615850126649372,-0.0,-4.461671464756963,0.0,-31.23170025329874,1.6094379124341003,3.903962531662343,1.1154178661892407,7.807925063324686
7,5,-3,0.0,-11.71188759498703,-0.0,-3.3462535985677224,0.0,-23.42377518997406,1.6094379124341003,3.903962531662343,1.1154178661892407,7.807925063324686
7,5,-2,0.0,-7.807925063324686,-0.0,-2.2308357323784813,0.0,-15.61585012664937,1.6094379124341003,3.903962531662343,1.1154178661892407,7.807925063324686
7,5,-1,0.0,-3.903962531662343,-0.0,-1.1154178661892407,0.0,-7.807925063324685,1.6094379124341003,3.903962531662343,1.1154178661892407,7.807925063324686
7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,3.903962531662343,1.1154178661892407,7.807925063324686
7,5,1,0.0,3.903962531662343,0.0,1.1154178661892407,0.0,7.807925063324685,1.6094379124341003,3.903962531662343,1.1154178661892407,7.807925063324686
7,5,2,0.0,7.807925063324686,0.0,2.2308357323784813,0.0,15.61585012664937,1.6094379124341003,3.903962531662343,1.1154178661892407,7.807925063324686
7,5,3,0.0,11.71188759498703,0.0,3.3462535985677224,0.0,23.42377518997406,1.6094379124341003,3.903962531662343,1.1154178661892407,7.807925063324686
7,5,4,0.0,15.615850126649372,0.0,4.461671464756963,0.0,31.23170025329874,1.6094379124341003,3.903962531662343,1.1154178661892407,7.807925063324686
7,5,5,0.0,19.519812658311714,0.0,5.577089330946204,0.0,39.03962531662343,1.6094379124341003,3.903962531662343,1.1154178661892407,7.807925063324686
